"team_id","team","won","drawn","lost","for","against","GD","points"
"1","Liverpool","7","0","1","17","5","12","21"
"2","Barcelona","6","1","1","28","13","15","19"
"3","Arsenal","6","1","1","16","3","13","19"
"4","Inter Milan","6","1","1","11","1","10","19"
"5","Atlético Madrid","6","0","2","20","12","8","18"
"6","Bayer Leverkusen","5","1","2","15","7","8","16"
"7","Lille","5","1","2","17","10","7","16"
"9","Atalanta","4","3","1","20","6","14","15"
"10","Borussia Dortmund","5","0","3","22","12","10","15"
"11","Real Madrid","5","0","3","20","12","8","15"
"12","Bayern Munich","5","0","3","20","12","8","15"
"13","AC Milan","5","0","3","14","11","3","15"
"14","PSV","4","2","2","16","12","4","14"
"15","PSG","4","1","3","14","9","5","13"
"16","Benfica","4","1","3","16","12","4","13"
"17","Monaco","4","1","3","13","13","0","13"
"18","Brest","4","1","3","10","11","-1","13"
"19","Feyenoord","4","1","3","18","21","-3","13"
"20","Juventus","3","3","2","9","7","2","12"
"21","Celtic","3","3","2","13","14","-1","12"
"22","Manchester City","3","2","3","18","14","4","11"
"23","Sporting CP","3","2","3","13","12","1","11"
"25","Dinamo Zagreb","3","2","3","12","19","-7","11"
"26","Stuttgart","3","1","4","13","17","-4","10"
"27","Shakhtar Donetsk","2","1","5","8","16","-8","7"
"28","Bologna","1","3","4","4","9","-5","6"
"29","Red Star Belgrade","2","0","6","13","22","-9","6"
"30","Sturm Graz","2","0","6","5","14","-9","6"
"31","Sparta Prague","1","1","6","7","21","-14","4"
"32","RB Leipzig","1","0","7","8","15","-7","3"
"33","Girona","1","0","7","5","13","-8","3"
"34","Red Bull Salzburg","1","0","7","5","27","-22","3"
"35","Slovan Bratislava","0","0","8","7","27","-20","0"
"36","Young Boys","0","0","8","3","24","-21","0"
