product_name,product_category,product_price,product_description,product_rating,product_stock,product_brand,product_color,product_size,product_discount
Orange Ginger Vinaigrette,Food - Condiments,81.2,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,4,327,Puma,black,M,49.66
High-Quality Yoga Mat,Fitness,166.72,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim,3,934,Puma,black,S,31.59
Canvas Wall Art,Home,533.58,vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim,5,587,Nike,black,XL,49.7
Stick Vacuums Cleaner,Home Appliances,921.62,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,1,596,Puma,green,L,35.84
Foam Roller for Muscle Recovery,Fitness,245.47,diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam,3,510,Nike,red,S,15.41
Puzzle,Toys,64.35,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,4,983,Adidas,green,S,47.88
Luxury Rolling Makeup Case,Beauty,44.22,integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,3,450,Puma,black,M,10.56
Silicone Stretch Lids,Kitchen,19.39,suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,3,516,Puma,red,L,8.32
Herbed Couscous,Food - Grains,724.01,ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac neque duis,5,552,Nike,green,S,18.22
Fresh Strawberries,Food - Produce,740.01,faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin,5,507,Adidas,black,XL,6.49
Sweet Corn,Food - Canned Goods,813.24,augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis,4,696,Puma,black,XL,46.29
Travel Pillow,Travel,183.52,lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,3,250,Puma,black,L,45.77
Organic Granola,Food - Breakfast,225.65,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque,3,569,Nike,blue,S,30.37
Wireless Printer,Office,264.98,lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,4,346,Puma,blue,L,27.41
